Rank,Tiktoker name,Tiktok name,followers,avgviews,avglikes,avgcomments,avgshares
194,miakhalifa,Mia K.,36600000.0,3900000.0,227200.0,4900.0,1400.0
195,jacobday,Jacob Day,6500000.0,2500000.0,476200.0,3500.0,1100.0
196,matheuskriwat,Matheuskriwat,11200000.0,3700000.0,236200.0,5800.0,523.0
197,calebwsimpson,CALEB SIMPSON,6500000.0,4500000.0,449900.0,1000.0,1700.0
198,cheekyboyos,the cheeky boyos,11000000.0,3800000.0,475200.0,1800.0,1200.0
199,oliviergiroud,Olivier Giroud,1300000.0,2700000.0,452500.0,2700.0,1800.0
200,vincentgiganteee,Vincent Gigante,2600000.0,3300000.0,607700.0,1000.0,1700.0
201,thebenjishow,benji,6200000.0,2800000.0,458300.0,1300.0,2900.0
202,joaodoce,Joao Doce,3300000.0,3400000.0,352900.0,2800.0,1700.0
203,andrea.dvrs,Dapaney🦋,2600000.0,5200000.0,526100.0,1300.0,709.0
204,officialbhafc,Brighton & Hove Albion FC,600300.0,4600000.0,389000.0,2200.0,729.0
205,claudiaraia,Claudia Raia,2800000.0,3200000.0,446100.0,2600.0,1100.0
206,elsaucepapii,SaucePapii22,1500000.0,2400000.0,219900.0,684.0,9300.0
207,werenotreallystrangers,WNRS,4800000.0,2000000.0,315900.0,2800.0,5400.0
208,marianagrimaldii,La Niña Fresa 🍓,3800000.0,4500000.0,414000.0,636.0,2200.0
209,qamar_altaey,𝑄𝐴𝑀𝐴𝑅,4400000.0,2100000.0,238400.0,3800.0,6900.0
210,melmaia,Mel Maia 🍯,14000000.0,4800000.0,476600.0,1200.0,1100.0
211,outtpig,OuttPig,2400000.0,2300000.0,431900.0,1500.0,3700.0
212,edgar3104,Edgarmendez,5700000.0,6800000.0,284800.0,1700.0,958.0
213,christianchavezreal,Christian Chávez,1700000.0,2200000.0,336400.0,3900.0,3000.0
214,championsleague,Champions League,20300000.0,2800000.0,474000.0,1900.0,2000.0
215,gordonramsayofficial,Gordon Ramsay,35600000.0,4600000.0,388200.0,2300.0,613.0
216,dixiedamelio,dixie,57500000.0,4700000.0,356600.0,2100.0,923.0
217,maxtaylorlifts,Max Taylor,9400000.0,3200000.0,440800.0,2000.0,1600.0
218,oironyoliveira,Kbuloso 😈,7100000.0,1500000.0,132000.0,412.0,25000.0
219,marko,marko,11200000.0,2300000.0,275300.0,3400.0,4600.0
220,dinosonso_ofc,DinoSonso,8800000.0,2500000.0,194100.0,4400.0,5900.0
221,firmanskd,𝙆𝙊𝘾𝘼𝙉,3100000.0,2200000.0,174600.0,632.0,12300.0
222,oficialrc3,Roberto Carlos,3600000.0,5100000.0,397000.0,901.0,1500.0
223,danythegaggio,Daniele Cabras,3500000.0,2400000.0,290700.0,1600.0,5600.0
224,tina_042,𝒯𝒾𝓃𝒶,1300000.0,2400000.0,504900.0,2100.0,1900.0
225,pedroallann,Pedroca,2900000.0,2300000.0,422500.0,2500.0,2400.0
226,piffpeterson,piff peterson,3900000.0,3300000.0,379500.0,1500.0,2300.0
227,jongmineyo,종민오빠  Jongmin oppa,15200000.0,4300000.0,275300.0,1800.0,2200.0
228,jumpersjump,Jumpers Jump Podcast,8400000.0,3700000.0,351900.0,2200.0,1600.0
229,piitien1603,pi tiên ™,1700000.0,3800000.0,288300.0,2200.0,2100.0
230,gehu.gl,Gerson Garcia,573300.0,2000000.0,129000.0,1900.0,16500.0
231,mesitaaa,Mesita,486900.0,3200000.0,550700.0,947.0,1700.0
232,szivsz,Ziva Magnolya,2100000.0,4300000.0,479700.0,1400.0,857.0
233,dilanjaniyar,Emang namanya Dilan,2200000.0,4100000.0,393600.0,1800.0,1200.0
234,fernandamotafarhat,Fe,7300000.0,3300000.0,349300.0,733.0,3300.0
235,stickyboy69,stickyboy69,9200000.0,1300000.0,298700.0,9100.0,2800.0
236,juliagisella,juliagisella,13500000.0,3000000.0,377100.0,2400.0,1600.0
237,mieayamthebstt,Unaa🍜,17000000.0,3100000.0,339900.0,2600.0,1800.0
238,frankielapenna,Frankie LaPenna,5700000.0,6800000.0,227900.0,1200.0,1800.0
239,jdpantoja,JD Pantoja,31900000.0,2500000.0,451100.0,3300.0,784.0
